case_id,raw_components,kept_prompts,gt_prompts,gt_voxels
10458_1000466,8,3,1,1034
10315_1000321,5,2,0,0
10266_1000270,18,8,0,0
11087_1001110,15,5,0,0
10048_1000048,5,2,1,1377
10023_1000023,16,8,0,0
10789_1000805,9,3,0,0
11394_1001418,14,6,0,0
11073_1001095,9,4,0,0
11218_1001241,32,8,0,0
10704_1000720,4,1,0,0
10974_1000993,15,6,0,0
10876_1000892,11,4,0,0
10547_1000558,5,2,1,70941
11410_1001434,20,8,0,0
10007_1000007,14,6,0,0
11094_1001117,29,8,0,0
10771_1000787,8,2,0,0
11062_1001084,8,2,0,0
11227_1001250,18,7,0,0
10889_1000905,12,3,1,303
10417_1000425,8,2,0,0
10637_1000653,11,7,2,438
11192_1001215,16,8,0,0
10967_1000986,9,5,0,0
10767_1000783,12,3,0,0
10136_1000138,14,5,0,0
10219_1000223,15,5,0,0
10903_1000919,6,2,1,625
11126_1001149,12,4,0,0
10991_1001010,11,4,1,1011
11423_1001447,4,1,1,4647
11214_1001237,5,2,0,0
11380_1001403,8,3,0,0
10553_1000565,10,5,0,0
10744_1000760,22,7,0,0
11236_1001259,4,1,1,1770
10245_1000249,10,3,0,0
10919_1000936,12,7,0,0
10255_1000259,16,8,0,0
10457_1000465,16,6,0,0
10011_1000011,8,3,0,0
11262_1001285,11,5,0,0
10820_1000836,28,8,0,0
10284_1000290,16,5,0,0
10378_1000384,23,8,0,0
11277_1001300,17,7,0,0
10866_1000882,8,2,0,0
11090_1001113,9,3,0,0
10960_1000979,5,2,0,0
11414_1001438,9,4,0,0
10914_1000931,4,1,0,0
10690_1000706,17,8,2,314
11365_1001388,9,3,0,0
11392_1001416,4,1,0,0
10349_1000355,5,2,0,0
10620_1000634,16,5,1,717
10927_1000944,12,4,0,0
10538_1000548,11,6,0,0
10320_1000326,7,3,0,0
11007_1001027,16,5,0,0
11276_1001299,27,8,0,0
10153_1000155,7,3,0,0
11424_1001448,21,7,0,0
10815_1000831,8,2,0,0
10940_1000959,20,8,0,0
10327_1000333,14,6,0,0
10093_1000093,16,6,0,0
10912_1000929,21,6,0,0
10455_1000463,19,7,0,0
11316_1001339,11,6,0,0
11058_1001079,7,3,0,0
11152_1001175,7,3,1,567
10628_1000642,4,1,0,0
10604_1000618,6,3,1,933
10578_1000591,12,3,0,0
10689_1000705,32,8,0,0
10890_1000906,21,8,1,172
11373_1001396,9,3,1,318
10464_1000472,29,8,1,1649
10679_1000695,8,2,1,690
11443_1001467,12,5,0,0
11436_1001460,12,5,0,0
10331_1000337,8,2,0,0
10862_1000878,6,3,1,3587
10049_1000049,19,8,0,0
10855_1000871,9,3,0,0
10778_1000794,15,5,0,0
11221_1001244,12,3,0,0
11069_1001091,12,4,0,0
10123_1000123,13,5,0,0
10613_1000627,10,4,0,0
10066_1000066,17,5,0,0
10610_1000624,9,3,0,0
10024_1000024,12,4,0,0
10497_1000506,13,5,1,249
10287_1000293,16,5,0,0
10169_1000172,12,6,0,0
11253_1001276,8,2,1,1350
11322_1001345,8,2,1,648
10717_1000733,12,6,1,1074
10908_1000925,10,5,0,0
10885_1000901,5,2,1,1260
10964_1000983,13,5,1,1503
11299_1001322,13,5,4,2352
10985_1001004,4,1,1,1266
10543_1000554,11,4,0,0
10694_1000710,9,3,0,0
10799_1000815,16,6,2,85
10590_1000604,8,2,0,0
10467_1000475,14,5,0,0
10016_1000016,13,4,0,0
11412_1001436,13,4,0,0
11085_1001107,8,2,0,0
11011_1001031,10,4,0,0
10930_1000947,5,2,0,0
10549_1000561,4,1,1,3006
10825_1000841,12,3,1,4569
11238_1001261,14,6,0,0
10747_1000763,4,1,0,0
10257_1000261,6,3,0,213
10117_1000117,24,8,1,1665
10064_1000064,17,6,0,0
10341_1000347,10,4,0,0
10640_1000656,11,4,0,0
10729_1000745,12,4,0,0
11353_1001376,34,8,0,0
11059_1001080,19,8,0,0
10079_1000079,8,2,1,1272
11376_1001399,18,6,0,0
11132_1001155,4,3,0,0
10403_1000409,8,2,0,0
11196_1001219,14,4,0,0
10444_1000452,20,6,0,0
11016_1001036,11,4,0,0
10716_1000732,18,8,0,0
10019_1000019,16,5,0,96
10031_1000031,16,5,0,0
10978_1000997,13,5,0,0
10161_1000164,16,5,0,0
10821_1000837,13,4,0,0
10506_1000515,5,2,0,0
10981_1001000,16,4,0,0
11057_1001078,6,2,0,0
10714_1000730,8,4,0,0
10288_1000294,16,7,0,0
10254_1000258,9,4,0,0
11264_1001287,7,4,0,0
11359_1001382,18,7,0,0
10839_1000855,12,6,1,411
10512_1000521,12,5,0,0
11148_1001171,12,3,0,0
10437_1000445,4,1,0,0
10877_1000893,20,6,0,0
10168_1000171,15,8,1,2061
11300_1001323,12,4,1,1632
10057_1000057,12,6,0,0
10043_1000043,4,1,1,10443
10359_1000365,12,3,0,0
11043_1001063,12,4,1,3063
10990_1001009,5,2,0,0
10624_1000638,16,5,0,0
10874_1000890,8,2,0,0
10033_1000033,4,1,0,0
11351_1001374,7,5,0,0
10674_1000690,6,3,0,0
10827_1000843,7,4,1,3982
11460_1001484,12,5,0,0
10608_1000622,15,8,0,0
10241_1000245,16,6,1,657
10201_1000205,7,3,0,0
10440_1000448,19,7,0,0
10720_1000736,12,3,0,0
10090_1000090,18,7,0,0
10192_1000195,22,8,0,0
11431_1001455,12,3,0,0
10273_1000277,10,3,0,0
10998_1001017,10,5,0,0
10741_1000757,22,8,0,0
11198_1001221,8,2,0,252
11173_1001196,15,7,1,429
11285_1001308,14,5,1,680
11049_1001069,13,8,1,369
11018_1001038,4,1,0,0
11421_1001445,8,2,0,0
10715_1000731,19,8,0,0
10119_1000119,12,4,0,0
10452_1000460,20,8,0,0
11426_1001450,13,4,1,408
10054_1000054,11,6,0,0
10345_1000351,43,8,0,0
10365_1000371,14,4,1,265
11167_1001190,12,4,0,0
11228_1001251,27,8,0,0
11447_1001471,8,2,1,2754
11224_1001247,14,6,0,0
11335_1001358,8,2,0,0
10210_1000214,8,2,0,0
10052_1000052,6,2,0,0
10491_1000500,9,3,0,0
10984_1001003,19,6,0,0
10084_1000084,11,5,0,0
11101_1001124,14,6,0,0
10893_1000909,12,4,0,0
10755_1000771,12,3,0,0
11174_1001197,4,1,1,11358
10910_1000927,13,4,1,1665
10938_1000957,8,2,2,9276
11432_1001456,21,8,0,0
10067_1000067,12,3,0,0
10381_1000387,18,6,0,0
10527_1000537,11,4,0,0
10805_1000821,14,8,0,0
10774_1000790,19,6,0,0
10356_1000362,12,6,0,0
11349_1001372,8,5,0,0
10384_1000390,25,8,0,0
11038_1001058,4,1,0,0
10854_1000870,4,1,0,0
11445_1001469,7,3,0,0
10853_1000869,9,5,0,0
11223_1001246,15,6,0,0
10762_1000778,8,2,0,0
10790_1000806,11,4,0,0
11259_1001282,5,2,0,0
11179_1001202,6,3,1,1314
11273_1001296,26,8,0,0
11248_1001271,8,2,1,435
11162_1001185,10,3,1,3405
10777_1000793,4,1,1,738
10443_1000451,11,5,0,0
10487_1000495,19,8,0,0
11354_1001377,8,3,0,0
11242_1001265,19,7,0,0
11255_1001278,13,5,0,0
10671_1000687,12,3,0,0
10858_1000874,17,7,0,0
11207_1001230,5,2,1,9234
10322_1000328,5,2,1,942
11079_1001101,6,2,0,0
10753_1000769,9,3,1,519
11323_1001346,11,3,0,0
10407_1000414,8,2,0,0
10479_1000487,12,3,0,0
10314_1000320,4,1,0,0
10596_1000610,35,8,0,0
11466_1001490,18,8,0,0
11381_1001404,14,5,0,0
10216_1000220,13,4,1,1242
11475_1001499,8,2,1,963
10760_1000776,19,8,1,504
10223_1000227,3,1,0,0
11164_1001187,9,3,0,0
10129_1000130,15,6,0,0
11041_1001061,5,2,1,1596
10483_1000491,8,2,0,0
10295_1000301,16,6,0,0
10977_1000996,11,5,0,0
10364_1000370,12,7,0,0
11093_1001116,10,5,1,1191
10648_1000664,9,4,0,0
11472_1001496,5,2,1,446
10934_1000951,14,5,0,0
10909_1000926,18,6,2,640
10655_1000671,11,3,0,0
11061_1001083,10,5,0,0
10975_1000994,14,4,1,325
10764_1000780,16,7,0,0
11387_1001411,10,6,0,0
11114_1001137,12,4,1,909
10955_1000974,12,4,0,0
10692_1000708,10,3,0,0
10275_1000280,30,8,0,0
11298_1001321,22,8,0,0
11314_1001337,8,2,0,0
11367_1001390,13,5,1,236
10834_1000850,8,3,1,3663
10070_1000070,19,7,0,0
11108_1001131,17,5,0,0
10846_1000862,6,3,0,0
10705_1000721,8,2,0,0
11385_1001409,7,3,1,1083
10319_1000325,23,8,0,0
11220_1001243,8,2,0,0
10165_1000168,17,6,0,0
10512_1000522,5,2,0,0
